source;target
2;36
2;80
21;48
33;13
38;36
43;13
43;33
43;53
44;1
44;80
47;61
48;54
64;48
68;13
68;33
74;80
78;80
79;33
80;7
80;21
80;47
80;48
80;52
80;54
80;70
80;88
80;90
83;41
83;48
86;2
89;48
