source;target
3;80
4;15
4;90
16;19
16;80
17;47
19;48
19;80
19;81
21;48
21;81
22;1
22;80
35;19
38;36
40;71
42;67
42;73
44;1
44;67
44;73
44;80
47;61
47;67
48;67
49;4
49;15
49;90
63;67
64;48
80;21
80;47
80;48
80;81
80;90
