source;target
3;80
4;15
4;90
11;39
11;47
17;11
17;39
17;47
18;21
18;72
21;81
22;1
22;80
31;11
31;17
31;39
33;13
34;81
42;67
42;73
43;13
43;33
44;1
44;67
44;73
44;80
47;5
47;31
47;39
47;61
47;67
48;59
48;67
49;4
49;15
49;90
56;21
56;80
60;11
60;82
62;80
63;67
64;48
69;48
72;21
74;80
78;80
79;33
80;3
80;11
80;21
80;37
80;47
80;48
80;81
80;87
80;90
83;41
83;48
89;48
92;81
